originals	tokenized	transliterated
NA	NA	NA
iedjo	ie dj o	i d͡ʒ o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaä(ä)ou(w)ĕ	k a ä ( ä ) o u ( w ) ĕ	k a ʔ a ( ʔ a ) o u ( w ) ə
kaärahĕaie	k a ä r a h ĕ a ie	k a ʔ a r a h ə a i
NA	NA	NA
kaädoie(j)ĕ; kaäroie(j)ĕ	k a ä d o ie ( j ) ĕ ; # k a ä r o ie ( j ) ĕ	k a ʔ a d o i ( j ) ə ; # k a ʔ a r o i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaäkènè; kakanie(q)	k a ä k è n è ; # k a k a n ie ( q )	k a ʔ a k ɛ n ɛ ; # k a k a n i ( ʔ )
kaäkieniefĕ	k a ä k ie n ie f ĕ	k a ʔ a k i n i f ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaäpĕaäaq	k a ä p ĕ a ä a q	k a ʔ a p ə a ʔ a a ʔ
kaäfoho	k a ä f o h o	k a ʔ a f o h o
NA	NA	NA
NA	NA	NA
kabĕhao	k a b ĕ h a o	k a b ə h a o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaboe(w)ĕboe(w)ĕ	k a b oe ( w ) ĕ b oe ( w ) ĕ	k a b u ( w ) ə b u ( w ) ə
NA	NA	NA
kalèalèa	k a l è a l è a	k a l ɛ a l ɛ a
NA	NA	NA
NA	NA	NA
kariehie	k a r ie h ie	k a r i ç i
kadiekofĕ	k a d ie k o f ĕ	k a d i k o f ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kahafa	k a h a f a	k a h a f a
kahoho	k a h o h o	k a h o h o
NA	NA	NA
NA	NA	NA
kahaienoeafĕ	k a h a ie n oe a f ĕ	k a h a i n u a f ə
NA	NA	NA
NA	NA	NA
kahakoudĕ	k a h a k o u d ĕ	k a h a k o u d ə
NA	NA	NA
kahao: èmanè	k a h a o : # è m a n è	k a h a o : # ɛ m a n ɛ
NA	NA	NA
NA	NA	NA
kahaokĕ	k a h a o k ĕ	k a h a o k ə
kahafaq	k a h a f a q	k a h a f a ʔ
kahafie	k a h a f ie	k a h a f i
NA	NA	NA
NA	NA	NA
NA	NA	NA
èhèlo	è h è l o	ɛ h ɛ l o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kahiefĕ	k a h ie f ĕ	k a h i f ə
NA	NA	NA
kahoefĕhoefoö	k a h oe f ĕ h oe f o ö	k a h u f ə h u f o ʔ o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaie(j)ĕnono	k a ie ( j ) ĕ n o n o	k a i ( j ) ə n o n o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
pĕkakanaka	p ĕ k a k a n a k a	p ə k a k a n a k a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kamoefie	k a m oe f ie	k a m u f i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
manèko	m a n è k o	m a n ɛ k o
NA	NA	NA
NA	NA	NA
NA	NA	NA
kanèfoe	k a n è f oe	k a n ɛ f u
NA	NA	NA
kaniehie(j)aniehie(j)a	k a n ie h ie ( j ) a n ie h ie ( j ) a	k a n i ç i ( j ) a n i ç i ( j ) a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaoedara	k a oe d a r a	k a u d a r a
kaoerahjĕ	k a oe r a h j ĕ	k a u r a h j ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaoefè(q)	k a oe f è ( q )	k a u f ɛ ( ʔ )
kaoe(w)ĕ	k a oe ( w ) ĕ	k a u ( w ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaäöbo	k a ä ö b o	k a ʔ a ɨ b o
kaoöèèdjie	k a o ö è è dj ie	k a o ʔ o ɛ ɛ d͡ʒ i
NA	NA	NA
NA	NA	NA
kafal	k a f a l	k a f a l
kafàl afi	k a f à l # a f i	k a f a l # a f i
NA	NA	NA
kafĕrafĕraba	k a f ĕ r a f ĕ r a b a	k a f ə r a f ə r a b a
NA	NA	NA
NA	NA	NA
NA	NA	NA
kafoekĕ	k a f oe k ĕ	k a f u k ə
NA	NA	NA
NA	NA	NA
kafofo	k a f o f o	k a f o f o
kĕfofo	k ĕ f o f o	k ə f o f o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kaliepoliepo	k a l ie p o l ie p o	k a l i p o l i p o
NA	NA	NA
karohajĕ	k a r o h a j ĕ	k a r o h a j ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kèhorojo	k è h o r o j o	k ɛ h o r o j o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
(è)kiadoboe; (è)kiaroboe	( è ) k i a d o b oe ; # ( è ) k i a r o b oe	( ɛ ) k i a d o b u ; # ( ɛ ) k i a r o b u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiebèrieka	k ie b è r ie k a	k i b ɛ r i k a
NA	NA	NA
NA	NA	NA
kietahoho	k ie t a h o h o	k i t a h o h o
kietahaq	k ie t a h a q	k i t a h a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kierèdèjaq; kèdèdè(j)aq; kèrèdè(j)aq	k ie r è d è j a q ; # k è d è d è ( j ) a q ; # k è r è d è ( j ) a q	k i r ɛ d ɛ j a ʔ ; # k ɛ d ɛ d ɛ ( j ) a ʔ ; # k ɛ r ɛ d ɛ ( j ) a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiedaieie(j)aq	k ie d a ie ie ( j ) a q	k i d a i i ( j ) a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kieto	k ie t o	k i t o
kierobieka	k ie r o b ie k a	k i r o b i k a
NA	NA	NA
kiedodo èdjie	k ie d o d o # è dj ie	k i d o d o # ɛ d͡ʒ i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiehiema(na)èorie	k ie h ie m a ( n a ) è o r ie	k i ç i m a ( n a ) ɛ o r i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kieie(j)oèraha	k ie ie ( j ) oè r a h a	k i i ( j ) u r a h a
kieiefĕ	k ie ie f ĕ	k i i f ə
NA	NA	NA
NA	NA	NA
kè(j)abaq	k è ( j ) a b a q	k ɛ ( j ) a b a ʔ
kè(j)abaq iekèo	k è ( j ) a b a q # ie k è o	k ɛ ( j ) a b a ʔ # i k ɛ o
NA	NA	NA
NA	NA	NA
kie(j)oenanĕ	k ie ( j ) oe n a n ĕ	k i ( j ) u n a n ə
kie(j)oèroha	k ie ( j ) oè r o h a	k i ( j ) u r o h a
kè(j)oha	k è ( j ) o h a	k ɛ ( j ) o h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiekè(è)o(w)a	k ie k è ( è ) o ( w ) a	k i k ɛ ( ɛ ) o ( w ) a
NA	NA	NA
NA	NA	NA
kiekèfoqoe(w)ĕ	k ie k è f o q oe ( w ) ĕ	k i k ɛ f o ʔ u ( w ) ə
NA	NA	NA
kiekie(j)ĕ	k ie k ie ( j ) ĕ	k i k i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiekoekoe(q)ĕ	k ie k oe k oe ( q ) ĕ	k i k u k u ( ʔ ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
kokonienie	k o k o n ie n ie	k o k o n i n i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kienanafĕ	k ie n a n a f ĕ	k i n a n a f ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kienono: è(j)ĕ	k ie n o n o : # è ( j ) ĕ	k i n o n o : # ɛ ( j ) ə
è(j)adie(j)ĕ	è ( j ) a d ie ( j ) ĕ	ɛ ( j ) a d i ( j ) ə
NA	NA	NA
NA	NA	NA
kienoqè(j)ĕ	k ie n o q è ( j ) ĕ	k i n o ʔ ɛ ( j ) ə
kieorèa	k ie o r è a	k i o r ɛ a
NA	NA	NA
NA	NA	NA
kieokahè	k ie o k a h è	k i o k a h ɛ
kieoniekĕ	k ie o n ie k ĕ	k i o n i k ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiefa(a)oeq	k ie f a ( a ) oe q	k i f a ( a ) u ʔ
kiepadieoeièdjie	k ie p a d ie oe iè dj ie	k i p a d i u i d͡ʒ i
kiefahoe(w)a	k ie f a h oe ( w ) a	k i f a h u ( w ) a
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiefakiefa fahoeoenaq	k ie f a k ie f a # f a h oeoe n a q	k i f a k i f a # f a h u ʔ u n a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
kiepakoekoe	k ie p a k oe k oe	k i p a k u k u
kiepakoekoekie	k ie p a k oe k oe k ie	k i p a k u k u k i
NA	NA	NA
kiefamĕ	k ie f a m ĕ	k i f a m ə
NA	NA	NA
kiefafakoe	k ie f a f a k oe	k i f a f a k u
kiefaqaq	k ie f a q a q	k i f a ʔ a ʔ
kieparaèbahoe(q)	k ie p a r a è b a h oe ( q )	k i p a r a ɛ b a h u ( ʔ )
NA	NA	NA
NA	NA	NA
NA	NA	NA
kieparaèdie(j)oq; kiefalaiedie(j)oq	k ie p a r a è d ie ( j ) o q ; # k ie f a l a ie d ie ( j ) o q	k i p a r a ɛ d i ( j ) o ʔ ; # k i f a l a i d i ( j ) o ʔ
kiefĕhaie; kiepoehaie; kiefoehaie	k ie f ĕ h a ie ; # k ie p oe h a ie ; # k ie f oe h a ie	k i f ə h a i ; # k i p u h a i ; # k i f u h a i
NA	NA	NA
kiefĕhodĕ	k ie f ĕ h o d ĕ	k i f ə h o d ə
kiefèoraq	k ie f è o r a q	k i f ɛ o r a ʔ
kiefiefie	k ie f ie f ie	k i f i f i
NA	NA	NA
kiepoe(w)araq	k ie p oe ( w ) a r a q	k i p u ( w ) a r a ʔ
kiepoerieka	k ie p oe r ie k a	k i p u r i k a
kiefoefoe	k ie f oe f oe	k i f u f u
kiefoeoedĕ	k ie f oeoe d ĕ	k i f u ʔ u d ə
kiefoe(w)a; kiepö(w)a; kiefö(w)a	k ie f oe ( w ) a ; # k ie p ö ( w ) a ; # k ie f ö ( w ) a	k i f u ( w ) a ; # k i p ɨ ( w ) a ; # k i f ɨ ( w ) a
NA	NA	NA
kiefokana	k ie f o k a n a	k i f o k a n a
kiefokiefo	k ie f o k ie f o	k i f o k i f o
NA	NA	NA
kiefofoä	k ie f o f o ä	k i f o f o ʔ a
NA	NA	NA
kieqjĕ	k ie q j ĕ	k i ʔ j ə
koq(a)hajo	k o q ( a ) h a j o	k o ʔ ( a ) h a j o
koahie(j)ĕ	k o a h ie ( j ) ĕ	k o a h i ( j ) ə
koahie(j)ĕ kafoe	k o a h ie ( j ) ĕ # k a f oe	k o a h i ( j ) ə # k a f u
NA	NA	NA
NA	NA	NA
NA	NA	NA
koeana	k oe a n a	k u a n a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ietofo	ie t o f o	i t o f o
NA	NA	NA
èkoedodoka; koedoroka	è k oe d o d o k a ; # k oe d o r o k a	ɛ k u d o d o k a ; # k u d o r o k a
koeroe	k oe r oe	k u r u
NA	NA	NA
kohèdie; koehèlie; kohèlie	k o h è d ie ; # k oe h è l ie ; # k o h è l ie	k o h ɛ d i ; # k u h ɛ l i ; # k o h ɛ l i
koehèlie(j)aq	k oe h è l ie ( j ) a q	k u h ɛ l i ( j ) a ʔ
NA	NA	NA
koeie kaliehĕ	k oe ie # k a l ie h ĕ	k u i # k a l i ç ə
NA	NA	NA
koeienanaq; koienaq; koenènaq, koenanaq	k oe ie n a n a q ; # k o ie n a q ; # k oe n è n a q , # k oe n a n a q	k u i n a n a ʔ ; # k o i n a ʔ ; # k u n ɛ n a ʔ , # k u n a n a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
koemènoeĕ	k oe m è n oe ĕ	k u m ɛ n u ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
koelipo	k oe l i p o	k u l i p o
NA	NA	NA
NA	NA	NA
NA	NA	NA
kohofaie	k o h o f a ie	k o h o f a i
kohofie(j)ĕ; kopopoie(j)ĕ (?)	k o h o f ie ( j ) ĕ ; # k o p o p o ie ( j ) ĕ # ( ? )	k o h o f i ( j ) ə ; # k o p o p o i ( j ) ə # ( ? )
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kokonĕ	k o k o n ĕ	k o k o n ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
kofo	k o f o	k o f o
koforieqie	k o f o r ie q ie	k o f o r i ʔ i
kadoqö (?)	k a d o q ö # ( ? )	k a d o ʔ ɨ # ( ? )
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
mohona(q); ahiemahona(q)	m o h o n a ( q ) ; # a h ie m a h o n a ( q )	m o h o n a ( ʔ ) ; # a h i m a h o n a ( ʔ )
NA	NA	NA
monokie	m o n o k ie	m o n o k i
NA	NA	NA
NA	NA	NA
mienaoe(w)afĕ	m ie n a oe ( w ) a f ĕ	m i n a u ( w ) a f ə
mienaoe(w)aè	m ie n a oe ( w ) a è	m i n a u ( w ) a ɛ
NA	NA	NA
NA	NA	NA
NA	NA	NA
mohomohoienoe	m o h o m o h o ie n oe	m o h o m o h o i n u
omokie	o m o k ie	o m o k i
NA	NA	NA
moko èorie die(j)ĕ	m o k o # è o r ie # d ie ( j ) ĕ	m o k o # ɛ o r i # d i ( j ) ə
NA	NA	NA
NA	NA	NA
naäfoe(w)aka(q)	n a ä f oe ( w ) a k a ( q )	n a ʔ a f u ( w ) a k a ( ʔ )
naähapè; naäpè; naèhafè; noähafè; naäfè	n a ä h a p è ; # n a ä p è ; # n a è h a f è ; # n o ä h a f è ; # n a ä f è	n a ʔ a h a p ɛ ; # n a ʔ a p ɛ ; # n a ɛ h a f ɛ ; # n o ʔ a h a f ɛ ; # n a ʔ a f ɛ
NA	NA	NA
NA	NA	NA
NA	NA	NA
nafonaq	n a f o n a q	n a f o n a ʔ
NA	NA	NA
NA	NA	NA
nèènè	n è è n è	n ɛ ɛ n ɛ
NA	NA	NA
nie(j)ĕ	n ie ( j ) ĕ	n i ( j ) ə
nie(j)oöhienieĕ	n ie ( j ) o ö h ie n ie ĕ	n i ( j ) o ʔ o h i n i ə
kanoaha	k a n o a h a	k a n o a h a
NA	NA	NA
NA	NA	NA
nonohoie	n o n o h o ie	n o n o h o i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
orokie	o r o k ie	o r o k i
NA	NA	NA
NA	NA	NA
oekèèfa	oe k è è f a	u k ɛ ɛ f a
oekietofè	oe k ie t o f è	u k i t o f ɛ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
öoebie	ö oe b ie	ɨ u b i
NA	NA	NA
oefanie	oe f a n ie	u f a n i
oefè	oe f è	u f ɛ
oefĕhöjaäq	oe f ĕ h ö j a ä q	u f ə h ɨ j a ʔ a ʔ
oefoena(ie)	oe f oe n a ( ie )	u f u n a ( i )
oe(w)ĕ	oe ( w ) ĕ	u ( w ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
oörokie	o ö r o k ie	o ʔ o r o k i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
faämahaie	f a ä m a h a ie	f a ʔ a m a h a i
NA	NA	NA
faboedajaq	f a b oe d a j a q	f a b u d a j a ʔ
faböha	f a b ö h a	f a b ɨ h a
fadahèboe(w)ĕ	f a d a h è b oe ( w ) ĕ	f a d a h ɛ b u ( w ) ə
NA	NA	NA
fariehoie(j)aqä; faliehoie(j)aqä	f a r ie h o ie ( j ) a qä ; # f a l ie h o ie ( j ) a qä	f a r i ç o i ( j ) a ʔ a ; # f a l i ç o i ( j ) a ʔ a
fariehofie	f a r ie h o f ie	f a r i ç o f i
fariekaä	f a r ie k a ä	f a r i k a ʔ a
NA	NA	NA
NA	NA	NA
paèloha	p a è l o h a	p a ɛ l o h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
pahabie(j)aq	p a h a b ie ( j ) a q	p a h a b i ( j ) a ʔ
NA	NA	NA
fa(ha)böhaq	f a ( h a ) b ö h a q	f a ( h a ) b ɨ h a ʔ
NA	NA	NA
fahaloho; fahaloho èkiedjaie(j)oe	f a h a l o h o ; # f a h a l o h o # è k ie dj a ie ( j ) oe	f a h a l o h o ; # f a h a l o h o # ɛ k i d͡ʒ a i ( j ) u
NA	NA	NA
NA	NA	NA
pahakie(j)o	p a h a k ie ( j ) o	p a h a k i ( j ) o
NA	NA	NA
NA	NA	NA
NA	NA	NA
fahafoeè(q)	f a h a f oe è ( q )	f a h a f u ɛ ( ʔ )
fahjĕ	f a h j ĕ	f a h j ə
NA	NA	NA
fahoehoeroe	f a h oe h oe r oe	f a h u h u r u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
faienènèaq	f a ie n è n è a q	f a i n ɛ n ɛ a ʔ
pĕkahadè; pakahalè; pĕkahalè	p ĕ k a h a d è ; # p a k a h a l è ; # p ĕ k a h a l è	p ə k a h a d ɛ ; # p a k a h a l ɛ ; # p ə k a h a l ɛ
fakahofĕ	f a k a h o f ĕ	f a k a h o f ə
NA	NA	NA
fakarahaq	f a k a r a h a q	f a k a r a h a ʔ
NA	NA	NA
NA	NA	NA
fakèrie(j)a	f a k è r ie ( j ) a	f a k ɛ r i ( j ) a
NA	NA	NA
NA	NA	NA
NA	NA	NA
pakieofĕ	p a k ie o f ĕ	p a k i o f ə
NA	NA	NA
fakoehè	f a k oe h è	f a k u h ɛ
pakoehè(j)aq	p a k oe h è ( j ) a q	p a k u h ɛ ( j ) a ʔ
fakoehö(j)aq	f a k oe h ö ( j ) a q	f a k u h ɨ ( j ) a ʔ
NA	NA	NA
NA	NA	NA
kèo pakoenaq aèkietaieboe	k è o # p a k oe n a q # a è k ie t a ie b oe	k ɛ o # p a k u n a ʔ # a ɛ k i t a i b u
NA	NA	NA
pakoeqäq	p a k oe qä q	p a k u ʔ a ʔ
fakoefèq	f a k oe f è q	f a k u f ɛ ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
pamahaoma	p a m a h a o m a	p a m a h a o m a
iepamahona	ie p a m a h o n a	i p a m a h o n a
NA	NA	NA
fana(h)	f a n a ( h )	f a n a ( h )
fanako; pĕnĕko; fĕnĕko	f a n a k o ; # p ĕ n ĕ k o ; # f ĕ n ĕ k o	f a n a k o ; # p ə n ə k o ; # f ə n ə k o
fanakonĕ	f a n a k o n ĕ	f a n a k o n ə
kè(j)abaq fanakonĕ	k è ( j ) a b a q # f a n a k o n ĕ	k ɛ ( j ) a b a ʔ # f a n a k o n ə
fanakonĕäq	f a n a k o n ĕ ä q	f a n a k o n ə ʔ a ʔ
fanaoe	f a n a oe	f a n a u
NA	NA	NA
fanè	f a n è	f a n ɛ
hofanè	h o f a n è	h o f a n ɛ
NA	NA	NA
panèha(q)	p a n è h a ( q )	p a n ɛ h a ( ʔ )
NA	NA	NA
NA	NA	NA
paoe(w)ĕ	p a oe ( w ) ĕ	p a u ( w ) ə
NA	NA	NA
faofajaäq	f a o f a j a ä q	f a o f a j a ʔ a ʔ
NA	NA	NA
fafa	f a f a	f a f a
NA	NA	NA
fafèĕ	f a f è ĕ	f a f ɛ ə
NA	NA	NA
papoeroe	p a p oe r oe	p a p u r u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
faliehoie(j)aqä	f a l ie h o ie ( j ) a qä	f a l i ç o i ( j ) a ʔ a
NA	NA	NA
farieqö	f a r ie q ö	f a r i ʔ ɨ
faroefèie	f a r oe f è ie	f a r u f ɛ i
NA	NA	NA
NA	NA	NA
faroriefo	f a r o r ie f o	f a r o r i f o
pèè; aboepè	p è è ; # a b oe p è	p ɛ ɛ ; # a b u p ɛ
NA	NA	NA
fè(j)aha	f è ( j ) a h a	f ɛ ( j ) a h a
NA	NA	NA
NA	NA	NA
pĕnjako; fènjako; fĕnjako	p ĕ nj a k o ; # f è nj a k o ; # f ĕ nj a k o	p ə ɲ a k o ; # f ɛ ɲ a k o ; # f ə ɲ a k o
fènohie(j)o	f è n o h ie ( j ) o	f ɛ n o h i ( j ) o
fiehie	f ie h ie	f i ç i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
pĕnahaäq	p ĕ n a h a ä q	p ə n a h a ʔ a ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
poepoeroe; foefoeroe	p oe p oe r oe ; # f oe f oe r oe	p u p u r u ; # f u f u r u
NA	NA	NA
poelieho; foeliehĕ	p oe l ie h o ; # f oe l ie h ĕ	p u l i ç o ; # f u l i ç ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
foforo	f o f o r o	f o f o r o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
wakieförö	w a k ie f ö r ö	w a k i f ɨ r ɨ
(è)kaèq	( è ) k a è q	( ɛ ) k a ɛ ʔ
aroe(w)a; adoe(w)ĕ	a r oe ( w ) a ; # a d oe ( w ) ĕ	a r u ( w ) a ; # a d u ( w ) ə
NA	NA	NA
a(o)fa	a ( o ) f a	a ( o ) f a
arieba; aliebĕ	a r ie b a ; # a l ie b ĕ	a r i b a ; # a l i b ə
akieakienĕ	a k ie a k ie n ĕ	a k i a k i n ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
a(o)fa hie a(o)fa	a ( o ) f a # h ie # a ( o ) f a	a ( o ) f a # h i # a ( o ) f a
abaiekaèq	a b a ie k a è q	a b a i k a ɛ ʔ
kiefa(a)oeq	k ie f a ( a ) oe q	k i f a ( a ) u ʔ
kiefa(a)oeq hie (è)kaèq	k ie f a ( a ) oe q # h ie # ( è ) k a è q	k i f a ( a ) u ʔ # h i # ( ɛ ) k a ɛ ʔ
kiefa(a)oeq hie adoe(w)a	k ie f a ( a ) oe q # h ie # a d oe ( w ) a	k i f a ( a ) u ʔ # h i # a d u ( w ) a
kiefa(a)oeq hie aroe(w)a	k ie f a ( a ) oe q # h ie # a r oe ( w ) a	k i f a ( a ) u ʔ # h i # a r u ( w ) a
kiefa(a)oeq hie adoe(w)ĕ	k ie f a ( a ) oe q # h ie # a d oe ( w ) ĕ	k i f a ( a ) u ʔ # h i # a d u ( w ) ə
(è)kaèq taka	( è ) k a è q # t a k a	( ɛ ) k a ɛ ʔ # t a k a
(è)kaèq taka hie (è)kaèq	( è ) k a è q # t a k a # h ie # ( è ) k a è q	( ɛ ) k a ɛ ʔ # t a k a # h i # ( ɛ ) k a ɛ ʔ
(è)kaeq taka hie kiefa(a)oeq	( è ) k a e q # t a k a # h ie # k ie f a ( a ) oe q	( ɛ ) k a e ʔ # t a k a # h i # k i f a ( a ) u ʔ
(è)kaèq taka hie kiefa(a)oeq, hie (è)kaèq	( è ) k a è q # t a k a # h ie # k ie f a ( a ) oe q , # h ie # ( è ) k a è q	( ɛ ) k a ɛ ʔ # t a k a # h i # k i f a ( a ) u ʔ , # h i # ( ɛ ) k a ɛ ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
adoe(w)a taka hie (è)kaèq	a d oe ( w ) a # t a k a # h ie # ( è ) k a è q	a d u ( w ) a # t a k a # h i # ( ɛ ) k a ɛ ʔ
aroe(w)a taka hie (è)kaèq	a r oe ( w ) a # t a k a # h ie # ( è ) k a è q	a r u ( w ) a # t a k a # h i # ( ɛ ) k a ɛ ʔ
adoe(w)ĕ taka hie (è)kaèq	a d oe ( w ) ĕ # t a k a # h ie # ( è ) k a è q	a d u ( w ) ə # t a k a # h i # ( ɛ ) k a ɛ ʔ
adoe(w)a taka hie kiefa(a)oeq	a d oe ( w ) a # t a k a # h ie # k ie f a ( a ) oe q	a d u ( w ) a # t a k a # h i # k i f a ( a ) u ʔ
aroe(w)a taka hie kiefa(a)oeq	a r oe ( w ) a # t a k a # h ie # k ie f a ( a ) oe q	a r u ( w ) a # t a k a # h i # k i f a ( a ) u ʔ
adoe(w)ĕ taka hie kiefa(a)oeq	a d oe ( w ) ĕ # t a k a # h ie # k ie f a ( a ) oe q	a d u ( w ) ə # t a k a # h i # k i f a ( a ) u ʔ
NA	NA	NA
akoloe taka hie kiefa(a)oeq	a k o l oe # t a k a # h ie # k ie f a ( a ) oe q	a k o l u # t a k a # h i # k i f a ( a ) u ʔ
NA	NA	NA
NA	NA	NA
a(o)pa taka hie kiefa(a)oeq	a ( o ) p a # t a k a # h ie # k ie f a ( a ) oe q	a ( o ) p a # t a k a # h i # k i f a ( a ) u ʔ
a(o)fa taka hie kiefa(a)oeq	a ( o ) f a # t a k a # h ie # k ie f a ( a ) oe q	a ( o ) f a # t a k a # h i # k i f a ( a ) u ʔ
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
(è)kaèq koedoroka	( è ) k a è q # k oe d o r o k a	( ɛ ) k a ɛ ʔ # k u d o r o k a
