ID	page	entry	dutch	english	indonesian	form	variant_ID	form_common_transcription	form_common_segments	form_ipa_segments	crossref_form	crossref_common_transcription	crossref_common_segments	crossref_ID	crossref_ipa_segments	comment
352	484	E	dammarkaars , lamp	dammar candle , lamp	lilin damar, lampu	è(j)ahaoeobie		E(y)ahauobi	E ( y ) a h a u o b i	ɛ ( j ) a h a u o b i						
353	484	E	wetten , aanzetten	sharpen , turn on / instigate	mempertajam, menghidupkan / menghasut	è(j)ahèaqaq		E(y)ahEa'a'	E ( y ) a h E a ' a '	ɛ ( j ) a h ɛ a ʔ a ʔ						
354	484	E	litteeken	scar	bekas luka	è(j)akoqä		E(y)ako'a	E ( y ) a k o ' a	ɛ ( j ) a k o ʔ a						
355	484	E	bijleggen van een geschil	settling of a dispute	penyelesaian perselisihan	è(j)akoro(w)a		E(y)akoro(w)a	E ( y ) a k o r o ( w ) a	ɛ ( j ) a k o r o ( w ) a						
356	484	E				è(j)aniemaie	38	E(y)animai	E ( y ) a n i m a i	ɛ ( j ) a n i m a i	aniemaie	animai	a n i m a i	51	a n i m a i	
356	484	E				è(j)aniemaie	38	E(y)animai	E ( y ) a n i m a i	ɛ ( j ) a n i m a i	aniemaie	animai	a n i m a i	684	a n i m a i	
357	484	E	in het verderf gestort , verdelgd	plunged into ruin , exterminated	jatuh ke dalam kehancuran , dimusnahkan	è(j)aqètoka		E(y)a'Etoka	E ( y ) a ' E t o k a	ɛ ( j ) a ʔ ɛ t o k a						
358	484	E	dat niet , bij verbieden	not that , by prohibition	bukan berarti, dengan larangan	è(j)araq	277	E(y)ara'	E ( y ) a r a '	ɛ ( j ) a r a ʔ						
359	484	E	handel niet aldus , niet op die wijze	do not act that way , not in that way	jangan bertindak seperti itu, tidak dengan cara itu	è(j)araq_noeha	278	E(y)ara'_nuha	E ( y ) a r a ' _ n u h a	ɛ ( j ) a r a ʔ _ n u h a						
360	484	E	vuur , aangestoken licht	fire , lit light	api, cahaya yang menyala	è(j)obie		E(y)obi	E ( y ) o b i	ɛ ( j ) o b i						
361	484	E	beitel	chisel	pahat	ĕ(j)opoko		ė(y)opoko	ė ( y ) o p o k o	ə ( j ) o p o k o						
362	484	E	mond van menschen en dieren	mouths of men and animals	mulut manusia dan hewan	èkaä		Eka'a	E k a ' a	ɛ k a ʔ a						
363	484	E	eene papajasoort	a species of papaya	spesies pepaya	èkabaiedoq		Ekabaido'	E k a b a i d o '	ɛ k a b a i d o ʔ						
364	484	E	baden	bathe	mandi	èkabaieka		Ekabaika	E k a b a i k a	ɛ k a b a i k a						
365	484	E	lijk	corpse	mayat	èkabakè		EkabakE	E k a b a k E	ɛ k a b a k ɛ						
366	484	E	makker , kameraad	companion , comrade	pendamping, kawan	èkabakèka		EkabakEka	E k a b a k E k a	ɛ k a b a k ɛ k a						
367	484	E	klein werpnet in gebruik bij de zeevischvangst	small casting net used in sea fishing	jaring pengecoran kecil yang digunakan dalam penangkapan ikan di laut	èkaboeäjo		Ekabu'ayo	E k a b u ' a y o	ɛ k a b u ʔ a j o						
368	484	E	vleermuis	bat	kelelawar	èkadaboeqä		Ekadabu'a	E k a d a b u ' a	ɛ k a d a b u ʔ a						
369	484	E	lichaam	body	tubuh	èkadaha(q)	135	Ekadaha(')	E k a d a h a ( ' )	ɛ k a d a h a ( ʔ )						
370	484	E	musch	sparrow	burung gereja	èkadieodie	136	Ekadiodi	E k a d i o d i	ɛ k a d i o d i						
371	484	E	de ontvangkamer van het gezin	the family reception room	ruang resepsi keluarga	èkadieopè	128	EkadiopE	E k a d i o p E	ɛ k a d i o p ɛ						
372	485	E	zekere boomsoort met deugdzaam timmerhout	certain tree species with decent lumber	spesies pohon tertentu dengan kayu yang layak	èkadodo(q)		Ekadodo(')	E k a d o d o ( ' )	ɛ k a d o d o ( ʔ )						
373	485	E	doek , geweven stof inz. van katoen , kleedingstuk tot bedekking van het lichaam van den middel tot de voeten	cloth , woven from cotton , article of clothing covering the body from waist to foot	kain, ditenun dari katun, pakaian yang menutupi tubuh dari pinggang sampai kaki	èkaèn		EkaEn	E k a E n	ɛ k a ɛ n						malayː kain
374	485	E	schorpioen	scorpion	kalajengking	èkaha		Ekaha	E k a h a	ɛ k a h a						
375	485	E	net om vogels te strikken	net to trap birds	jaring untuk menjebak burung	èkahaba		Ekahaba	E k a h a b a	ɛ k a h a b a						
376	485	E	kreeft	lobster	lobster	èkahaèpie		EkahaEpi	E k a h a E p i	ɛ k a h a ɛ p i						
377	485	E	één	one	satu	(è)kahaèq	2	(E)kahaE'	( E ) k a h a E '	( ɛ ) k a h a ɛ ʔ						
378	485	E	zekere boomsoort met deugdzaam timmerhout	certain tree species with virtuous lumber	spesies pohon tertentu dengan kayu yang baik	èkahanoa		Ekahanoa	E k a h a n o a	ɛ k a h a n o a						
379	485	E	achterzijde , rug	rear , back	belakang, belakang	èkahaö		Ekaha'o	E k a h a ' o	ɛ k a h a ʔ o						
380	485	E	buiten eene omheinde plaats	outside a fenced-off area	di luar area berpagar	èkahaoe		Ekahau	E k a h a u	ɛ k a h a u						
381	485	E	ananas	pineapple	nanas	èkahaoekoe		Ekahauku	E k a h a u k u	ɛ k a h a u k u						
382	485	E	dag	day / hello	hari / halo	èkahaoq		Ekahao'	E k a h a o '	ɛ k a h a o ʔ						
383	485	E	alang-alang	alang-alang	alang-alang	èkahi(j)oe		Ekahi(y)u	E k a h i ( y ) u	ɛ k a h i ( j ) u						
384	485	E	witte mier	white ant	semut putih	èkahieno(a)		Ekahino(a)	E k a h i n o ( a )	ɛ k a h i n o ( a )						
385	485	E	hagedis	lizard	kadal	èkahoe(w)èqo		Ekahu(w)E'o	E k a h u ( w ) E ' o	ɛ k a h u ( w ) ɛ ʔ o						
386	485	E	drek , uitwerpselen	muck , excrement	kotoran, kotoran	èkaie		Ekai	E k a i	ɛ k a i						
387	485	E	kopje , bordje , schoteltje	cup , plate , saucer	cangkir, piring, piring	èkaieno(h)		Ekaino(h)	E k a i n o ( h )	ɛ k a i n o ( h )						
388	485	E	de lucht ; ookː wolk , regenwolk	the sky ; alsoː cloud , rain cloud	langit; juga awan, awan hujan	èkaie(oe)dahoe(hoe)	129	Ekai(u)dahu(hu)	E k a i ( u ) d a h u ( h u )	ɛ k a i ( u ) d a h u ( h u )						
389	485	E	een van de typen van een Engganeesche lans	one of the types of an Engganese lance	salah satu jenis tombak Engganese	èkajoqpèdjie	130	Ekayo'pEji	E k a y o ' p E j i	ɛ k a j o ʔ p ɛ d͡ʒ i						
390	485	E	weerkaatsing van het licht , schitteren	reflection of light , shine	pantulan cahaya, bersinar	èkakorèie(j)o	131	EkakorEi(y)o	E k a k o r E i ( y ) o	ɛ k a k o r ɛ i ( j ) o						
391	485	E	vijl	file	file	èkakorè(j)o		EkakorE(y)o	E k a k o r E ( y ) o	ɛ k a k o r ɛ ( j ) o						
392	485	E	zekere pisangsoort	certain pisang species	spesies pisang tertentu	èkamie(j)oe		Ekami(y)u	E k a m i ( y ) u	ɛ k a m i ( j ) u						
393	485	E	op , niet meer voorhanden	finished / spent , no longer available	selesai / dihabiskan, tidak lagi tersedia	èkanaja		Ekanaya	E k a n a y a	ɛ k a n a j a						
394	485	E	kopje	cup	cangkir	èkanjoq		Ekaño'	E k a ñ o '	ɛ k a ɲ o ʔ						
395	485	E	damp , wasem	vapour , steam	uap, uap	èkanoa		Ekanoa	E k a n o a	ɛ k a n o a						
396	485	E	de maan	the moon	bulan	èkanoaie		Ekanoai	E k a n o a i	ɛ k a n o a i						
397	485	E	vogelklauw	bird's claw	cakar burung	èkanoeoenoe		Ekanu'unu	E k a n u ' u n u	ɛ k a n u ʔ u n u						
398	485	E	zekere vogel (doendoen)	certain bird (pigeon)	burung tertentu (merpati)	èk(a)oeqpanoe	127	Ek(a)u'panu	E k ( a ) u ' p a n u	ɛ k ( a ) u ʔ p a n u						
399	485	E	fraai , mooi om te zien	beautiful , nice to see	indah, senang melihat	èkaoe(w)a	134	Ekau(w)a	E k a u ( w ) a	ɛ k a u ( w ) a						gwrd.: aoe(w)a?
400	485	E	zekere boomsoort , welks hout uitsluitend voor brandhout gebezigd wordt	certain tree species whose wood is used solely for firewood	spesies pohon tertentu yang kayunya hanya digunakan untuk kayu bakar	èkapahoeka		Ekapahuka	E k a p a h u k a	ɛ k a p a h u k a						
401	485	E	een papegaaisoort	a species of parrot	spesies burung beo	èkapèlo		EkapElo	E k a p E l o	ɛ k a p ɛ l o						
402	485	E	oud , in allerlei beteekenissen	old , in all kinds of meanings	tua, dalam semua jenis makna	èkapoeh		Ekapuh	E k a p u h	ɛ k a p u h						
403	485	E	mensch , menschdom , lieden	man , humanity , people	manusia, kemanusiaan, orang	èka(q)ka(q)		Eka(')ka(')	E k a ( ' ) k a ( ' )	ɛ k a ( ʔ ) k a ( ʔ )						
404	485	E	geweven kleeding in het algemeen , stof	woven garments in general , fabric	pakaian tenun pada umumnya, kain	èkaraoe(w)ahè		Ekarau(w)ahE	E k a r a u ( w ) a h E	ɛ k a r a u ( w ) a h ɛ						
405	486	E	zweer , puist	ulcer , pustule	maag, pustula	èkarèpè	139	EkarEpE	E k a r E p E	ɛ k a r ɛ p ɛ						
406	486	E	zeer , tot vorming van den overtreffenden trap	very , to formation of the superlative stage	sangat , untuk pembentukan tahap superlatif	èkarara		Ekarara	E k a r a r a	ɛ k a r a r a						
407	486	E	oor , oorsieraad , destijds bestaande in opgerolde pisangbladeren , ringen van een kleine soort kokosnoot of van hoorn vervaardigd	ear , ear ornament , then consisting of coiled pisang leaves , rings made of a small type of coconut or of horn	telinga, hiasan telinga, kemudian terdiri dari daun pisang yang dililitkan, cincin yang terbuat dari jenis kelapa kecil atau tanduk	èkarieha	132	Ekariha	E k a r i h a	ɛ k a r i ç a						
408	486	E	armband (gew. van glaskoralen of akar bahar)	bracelet (usually from glass corals or akar bahar)	gelang (biasanya dari karang kaca atau akar bahar)	èkarieha_oe(w)apo	133	Ekariha_u(w)apo	E k a r i h a _ u ( w ) a p o	ɛ k a r i ç a _ u ( w ) a p o						
409	486	E	voetring	foot ring	cincin kaki	oe(w)aie		u(w)ai	u ( w ) a i	u ( w ) a i						
410	486	E	citroen , pompelmoes	lemon , grapefruit	lemon, jeruk bali	èkèè		EkEE	E k E E	ɛ k ɛ ɛ						
411	486	E	vogel	bird	burung	èkèèpa	137	EkEEpa	E k E E p a	ɛ k ɛ ɛ p a						
412	486	E	vliegen , stuiven , opstuiven van stof enz	flying , dusting , kicking up dust etc.	terbang, membersihkan debu, menendang debu, dll.	kieèèpa	344	kiEEpa	k i E E p a	k i ɛ ɛ p a						
413	486	E	korte breede bijl	short broad axe	kapak lebar pendek	èkèh(è)		EkEh(E)	E k E h ( E )	ɛ k ɛ h ( ɛ )						
414	486	E	doorn	thorn	duri	èkèhèodo		EkEhEodo	E k E h E o d o	ɛ k ɛ h ɛ o d o						
415	486	E	een instrumentje , dat men tusschen de tanden neemt en daarmede het geluid «ginggong» maakt	a small instrument , which one takes between the teeth and with which one makes the sound “ginggong”	alat musik kecil, yang diambil di antara gigi dan dengan alat musik itu mengeluarkan suara ""ginggong""	èkèkong		EkEkong	E k E k o n g	ɛ k ɛ k o n g						
416	486	E	milt	spleen	limpa	èkèma		EkEma	E k E m a	ɛ k ɛ m a						
417	486	E	braken	vomit	muntah	èkèoäh		EkEo'ah	E k E o ' a h	ɛ k ɛ o ʔ a h						
418	486	E	rottan	rottan	rotan	èkèoq		EkEo'	E k E o '	ɛ k ɛ o ʔ						
419	486	E	muts	hat	topi	èkèponie		EkEponi	E k E p o n i	ɛ k ɛ p o n i						
420	486	E	vloeiingen	flows	mengalir	èkieakie		Ekiaki	E k i a k i	ɛ k i a k i						
421	486	E	stok met twee of drie ijzeren punten , waarmede de visschen , die uit het net trachten te ontkomen , worden gestoken	stick with two or three iron points , with which the fish trying to escape from the net are stabbed	tongkat dengan dua atau tiga titik besi, yang digunakan untuk menusuk ikan yang mencoba melarikan diri dari jaring	èkieakoqä		Ekiako'a	E k i a k o ' a	ɛ k i a k o ʔ a						
422	486	E	sprinkhaan	grasshopper	belalang	èkieapo	140	Ekiapo	E k i a p o	ɛ k i a p o						
423	486	E	spaander , splinter	chip , splinter	chip, serpihan	èkiedapè(j)a	146	EkidapE(y)a	E k i d a p E ( y ) a	ɛ k i d a p ɛ ( j ) a						
424	486	E	een der typen van eene Engganeesche lans	one of the types of an Engganese lance	salah satu jenis tombak Engganese	èkiediebèie(j)oq	147	EkidibEi(y)o'	E k i d i b E i ( y ) o '	ɛ k i d i b ɛ i ( j ) o ʔ						
425	486	E	buik , ingewanden	abdomen , intestines	perut, usus	èkiedjaie	145	Ekijai	E k i j a i	ɛ k i d͡ʒ a i						
426	486	E	zekere boomsoort met deugdzaam timmerhout	certain tree species with decent lumber	spesies pohon tertentu dengan kayu yang layak	èkiedjè		EkijE	E k i j E	ɛ k i d͡ʒ ɛ	mĕrbau	mėrbau	m ė r b a u	Malay crossref	m ə r b a u	
427	486	E	Spaansche peper	Spanish pepper	Lada Spanyol	èkiedjiekiedjie		Ekijikiji	E k i j i k i j i	ɛ k i d͡ʒ i k i d͡ʒ i						
428	486	E	bochtig van een weg	winding road	jalan berliku	èkieèèo		EkiEEo	E k i E E o	ɛ k i ɛ ɛ o						
429	486	E	eene rottansoort	a species of rottan	spesies rottan	ékiehie		ekihi	e k i h i	e k i ç i						
430	486	E	zekere boomsoort met deugdzaam timmerhout	certain tree species with decent lumber	spesies pohon tertentu dengan kayu yang layak	èkiehie(j)oedo		Ekihi(y)udo	E k i h i ( y ) u d o	ɛ k i ç i ( j ) u d o						
431	486	E	mier	ant	semut	èkieho		Ekiho	E k i h o	ɛ k i ç o						
432	486	E	dorst	thirst	haus	èkiehöa		Ekihu̇a	E k i h u̇ a	ɛ k i ç ɨ a						
433	486	E	nerf van het kokosblad	vein of the coconut leaf	urat daun kelapa	èkiehoedo		Ekihudo	E k i h u d o	ɛ k i ç u d o						
434	486	E	eene niet brandende toorts. De toortsen worden van klapperbladeren vervaardigd	a non-burning torch. Torches are made of coconut leaves	obor yang tidak terbakar. Obor terbuat dari daun kelapa	èkiehoedo		Ekihudo	E k i h u d o	ɛ k i ç u d o						
435	486	E	reden , omdat	reason , because	alasan, karena	èkiehohè(j)a	138	EkihohE(y)a	E k i h o h E ( y ) a	ɛ k i ç o h ɛ ( j ) a						
436	486	E	wat is daarvan de reden	what is the reason of that	apa alasannya	èieha_kiehohè(j)a_die(j)a		Eiha_kihohE(y)a_di(y)a	E i h a _ k i h o h E ( y ) a _ d i ( y ) a	ɛ i ç a _ k i ç o h ɛ ( j ) a _ d i ( j ) a						
437	486	E	kin	chin	dagu	èkieie		Ekii	E k i i	ɛ k i i						
438	486	E	dauw	dew	embun	èkieie(j)o	142	Ekii(y)o	E k i i ( y ) o	ɛ k i i ( j ) o						
439	487	E	schild	shield	perisai	èkieie(j)ahaq		Ekii(y)aha'	E k i i ( y ) a h a '	ɛ k i i ( j ) a h a ʔ						
440	487	E	muskiet	mosquito	nyamuk	èkie(j)aö		Eki(y)a'o	E k i ( y ) a ' o	ɛ k i ( j ) a ʔ o						
441	487	E	wind	wind	angin	èkie(j)oe		Eki(y)u	E k i ( y ) u	ɛ k i ( j ) u						
442	487	E	e. s. v. kleine parkiet	a sort of small parakeet	semacam parkit kecil	èkie(j)oeqie		Eki(y)u'i	E k i ( y ) u ' i	ɛ k i ( j ) u ʔ i						
443	487	E	halssnoer van koraal	coral necklace	kalung karang	èkieka		Ekika	E k i k a	ɛ k i k a						
444	487	E	kam	comb	sisir	èkiekie		Ekiki	E k i k i	ɛ k i k i						
445	487	E	eene cassavesoort	a cassava variety	varietas singkong	èkiekohaq		Ekikoha'	E k i k o h a '	ɛ k i k o h a ʔ						
446	487	E	schelp	shell	cangkang	èkiemo		Ekimo	E k i m o	ɛ k i m o						
447	487	E	het voor den Engganees onbekende land( ? )	The Country Unknown To The Engganese ( ? )	Negara yang Tidak Dikenal Orang Inggris (?)	èkiemo		Ekimo	E k i m o	ɛ k i m o						
448	487	E	cardamom , langkoewas (een specerijachtige wortel)	cardamom , lenkuas (a spice-like root)	kapulaga , lenkuas (akar yang mirip rempah-rempah)	èkienono		Ekinono	E k i n o n o	ɛ k i n o n o						
449	487	E	de hooge kant van iets	the high side of something	sisi tinggi dari sesuatu	èkieodoha		Ekiodoha	E k i o d o h a	ɛ k i o d o h a						
450	487	E	duizendpoot	centipede	kelabang	èkietjaho		Ekicaho	E k i c a h o	ɛ k i t͡ʃ a h o						
451	487	E	haai	shark	hiu	èkietjoh		Ekicoh	E k i c o h	ɛ k i t͡ʃ o h						
452	487	E	hoofddeksel van boomschors	bark headgear	tutup kepala kulit kayu	èkietohè		EkitohE	E k i t o h E	ɛ k i t o h ɛ						
453	487	E	rat , muis	rat , mouse	tikus, tikus	èkoanoe		Ekoanu	E k o a n u	ɛ k o a n u						
454	487	E	op zij af , zijweg	off to the side , side road	ke samping, jalan samping	èköaq		Eku̇a'	E k u̇ a '	ɛ k ɨ a ʔ						
455	487	E	verhaal , vertelling	story , narration	cerita, narasi	èkodie(j)o	157	Ekodi(y)o	E k o d i ( y ) o	ɛ k o d i ( j ) o						
456	487	E	verhaal , vertelsel	story , narration	cerita, narasi	èkodaäjo	149	Ekoda'ayo	E k o d a ' a y o	ɛ k o d a ʔ a j o						
457	487	E	stam , boom	trunk , tree	batang, pohon	èkoeaka		Ekuaka	E k u a k a	ɛ k u a k a						
458	487	E	rijk	rich	kaya	èkoedodo		Ekudodo	E k u d o d o	ɛ k u d o d o						
459	487	E	één persoon , lichaam	one person , body	satu orang, tubuh	èkoedodoka		Ekudodoka	E k u d o d o k a	ɛ k u d o d o k a						
460	487	E	stam , boom	trunk , tree	batang, pohon	èkoeha	155	Ekuha	E k u h a	ɛ k u h a						
461	487	E	raadsel	riddle	teka-teki	èkoehie(j)o		Ekuhi(y)o	E k u h i ( y ) o	ɛ k u h i ( j ) o						
462	487	E	struik , stengel	bush , stem	semak-semak, batang	èkoeka		Ekuka	E k u k a	ɛ k u k a						
463	487	E	scheenbeen	shin	tulang kering	èkoeka(oe)waie		Ekuka(u)wai	E k u k a ( u ) w a i	ɛ k u k a ( u ) w a i						
464	487	E	mug	mosquito	nyamuk	èkoema(q)aoe		Ekuma(')au	E k u m a ( ' ) a u	ɛ k u m a ( ʔ ) a u						
465	487	E	tak , boomtak	branch , tree branch	cabang, cabang pohon	èkoena		Ekuna	E k u n a	ɛ k u n a						
466	487	E	baadje	shirt	kemeja	èkoeöedo		Eku'oedo	E k u ' o e d o	ɛ k u ʔ o e d o						
467	487	E	omheinen van een bouwland , van een tuin	fencing of an arable land , of a garden	pagar tanah yang subur, dari sebuah taman	èkoepado	151	Ekupado	E k u p a d o	ɛ k u p a d o						
468	487	E	een der typen van een Engganeesche lans	one of the types of an Engganese lance	salah satu jenis tombak Engganese	èkoe(w)abo		Eku(w)abo	E k u ( w ) a b o	ɛ k u ( w ) a b o						
469	487	E	e. s. v. vogel.	a sort of bird	sejenis burung	èkoe(w)iekoe(w)ie		Eku(w)iku(w)i	E k u ( w ) i k u ( w ) i	ɛ k u ( w ) i k u ( w ) i						
470	487	E	tak , boomtak , hout	branch , tree branch , wood	cabang, cabang pohon, kayu	èkoe(w)o	148	Eku(w)o	E k u ( w ) o	ɛ k u ( w ) o						
471	487	E	zich met bladeren , inz. van den pandanus , beschutten tegen den regen ; regenscherm	shelter from the rain with leaves , e.g. of the pandanus ; rainscreen	berlindung dari hujan dengan daun, misalnya dari pandan; layar hujan	èkohèaq		EkohEa'	E k o h E a '	ɛ k o h ɛ a ʔ						
472	487	E	heuvel , berg	hill , mountain	bukit, gunung	èkoh(oie)		Ekoh(oi)	E k o h ( o i )	ɛ k o h ( o i )						
473	487	E	vuil , handvuil , huidsmeer	dirt , hand dirt , skin grease	kotoran, kotoran tangan, minyak kulit	èkohoq		Ekoho'	E k o h o '	ɛ k o h o ʔ						
474	487	E	asch	ash	abu	èkohoqoe(j)obie		Ekoho'u(y)obi	E k o h o ' u ( y ) o b i	ɛ k o h o ʔ u ( j ) o b i						
475	487	E	varken , zwijn	pig , boar	babi, babi hutan	èkojoq		Ekoyo'	E k o y o '	ɛ k o j o ʔ						
476	487	E	de borsten van eene vrouw	a woman's breasts	payudara wanita	èkokoq		Ekoko'	E k o k o '	ɛ k o k o ʔ						
477	487	E	clitoris	clitoris	klitoris	èkonienie		Ekonini	E k o n i n i	ɛ k o n i n i						
478	487	E	kittelen	tickle	menggelitik	kokonienie		kokonini	k o k o n i n i	k o k o n i n i						
479	487	E	honger , hongerig zijn	hunger , being hungry	kelaparan, sedang lapar	èkonjoq	156	Ekoño'	E k o ñ o '	ɛ k o ɲ o ʔ						
480	487	E	gevorkte tak	forked branch	cabang bercabang	èkoq		Eko'	E k o '	ɛ k o ʔ						
481	488	E	vullen , bevatten , inhouden	fill , contain , contain	mengisi, mengandung, mengandung	èkoqä		Eko'a	E k o ' a	ɛ k o ʔ a						
482	488	E	overgebleven stam zonder kruin of takken , een tronk	remaining trunk without a crown or branches , a trunk	batang yang tersisa tanpa mahkota atau cabang, batang	èkoqa(j)odie(j)a		Eko'a(y)odi(y)a	E k o ' a ( y ) o d i ( y ) a	ɛ k o ʔ a ( j ) o d i ( j ) a						
483	488	E	geneeskundige	medical	medis	èko(q)hajo		Eko(')hayo	E k o ( ' ) h a y o	ɛ k o ( ʔ ) h a j o	doekoen	dukun	d u k u n	Malay crossref	d u k u n	
484	488	E	nipapalm	nipapalm	nipapalm	èko(ö)qko(ö)q		Eko('o)'ko('o)'	E k o ( ' o ) ' k o ( ' o ) '	ɛ k o ( ʔ o ) ʔ k o ( ʔ o ) ʔ						
485	488	E	de bagoeboom	the bago tree	pohon bago	èkoq(n)jaoe		Eko'(n)yau	E k o ' ( n ) y a u	ɛ k o ʔ ( n ) j a u						
486	488	E	voorhoofd	forehead	dahi	èkoqoeie		Eko'ui	E k o ' u i	ɛ k o ʔ u i						
487	488	E	hersenen , merg	brain , marrow	otak, sumsum	èkoropie	158	Ekoropi	E k o r o p i	ɛ k o r o p i						also èkoropie(j)oèoeloe
488	488	E	pad , gang.	path , corridor.	jalan, koridor.	èko(w)a		Eko(w)a	E k o ( w ) a	ɛ k o ( w ) a						
489	488	E	geest , zoowel goede als kwade	spirit , both good and evil	roh, baik yang baik maupun yang jahat	èko(w)èq	152	Eko(w)E'	E k o ( w ) E '	ɛ k o ( w ) ɛ ʔ						
490	488	E	geest , die de bronnen bewoont	spirit inhabiting the springs	roh yang menghuni mata air	èko(w)èq	153	Eko(w)E'	E k o ( w ) E '	ɛ k o ( w ) ɛ ʔ						oeèbo?
491	488	E	geest , die de zee bewoont	spirit inhabiting the sea	roh yang menghuni laut	èoe(w)è		Eu(w)E	E u ( w ) E	ɛ u ( w ) ɛ						
492	488	E	geest , die de rivieren bewoont	spirit inhabiting the rivers	roh yang menghuni sungai-sungai	ie(j)akapieta	276	i(y)akapita	i ( y ) a k a p i t a	i ( j ) a k a p i t a						
493	488	E	geest , die de doesoen bewoont	spirit inhabiting the doesoen (village)	roh yang mendiami doesoen (desa)	kaoedara		kaudara	k a u d a r a	k a u d a r a						
494	488	E	geest , die de bosschen bewoont	spirit , inhabiting the forests	roh, menghuni hutan	oehoeqkoe(w)o	435	uhu'ku(w)o	u h u ' k u ( w ) o	u h u ʔ k u ( w ) o						
495	488	E	geest , die de zeekust bewoont	spirit , inhabiting the seashore	roh, menghuni pantai	oewokie		uwoki	u w o k i	u w o k i						
496	488	E	naam aan een inlander — vreemdeling — inz. aan een Maleier toegekend	name given to a native - foreigner - e.g. , to a Malaysian	nama yang diberikan kepada penduduk asli - orang asing - misalnya, kepada orang Malaysia	èko(w)èq	154	Eko(w)E'	E k o ( w ) E '	ɛ k o ( w ) ɛ ʔ						
497	488	E	krokodil	crocodile	buaya	èlaäpoe(w)a	159	Ela'apu(w)a	E l a ' a p u ( w ) a	ɛ l a ʔ a p u ( w ) a						
498	488	E	nicht	niece / cousin	keponakan / sepupu	èlahaö	162	Elaha'o	E l a h a ' o	ɛ l a h a ʔ o	èhöda	Ehu̇da	E h u̇ d a	322	ɛ h ɨ d a	
498	488	E	nicht	niece / cousin	keponakan / sepupu	èlahaö	162	Elaha'o	E l a h a ' o	ɛ l a h a ʔ o	èhöda	Ehu̇da	E h u̇ d a	834	ɛ h ɨ d a	
499	488	E	neef	nephew / cousin	keponakan / sepupu	èmanie	173	Emani	E m a n i	ɛ m a n i						
500	488	E	donder	thunder	guntur	èlaohoe		Elaohu	E l a o h u	ɛ l a o h u						
501	488	E	klimmen zooals bijv. in een kokospalm	climbing as , for example , in a coconut tree	memanjat seperti, misalnya, di pohon kelapa	èlè		ElE	E l E	ɛ l ɛ						
502	488	E	snot	snot	ingus	èlèaq		ElEa'	E l E a '	ɛ l ɛ a ʔ						
503	488	E	weerlicht , bliksem	lightning	petir	èloaba		Eloaba	E l o a b a	ɛ l o a b a						
504	488	E	boot (sampan) , vaartuig	boat (sampan) , vessel	perahu (sampan), kapal	èloha	169	Eloha	E l o h a	ɛ l o h a						
505	488	E	e. s. v. vogel.	a sort of bird	sejenis burung	èmahokakie		Emahokaki	E m a h o k a k i	ɛ m a h o k a k i						
506	488	E	mannelijk	male	laki-laki	èmanie	174	Emani	E m a n i	ɛ m a n i						
507	488	E	planken vloer	wooden floor	lantai kayu	èmènahoa	176	EmEnahoa	E m E n a h o a	ɛ m ɛ n a h o a						
508	488	E	vocht uit de kokosnoot , palmwijn	liquid from the coconut , palm wine	cairan dari kelapa, arak	èmèno		EmEno	E m E n o	ɛ m ɛ n o						
509	488	E	kat	cat	kucing	èmèo	175	EmEo	E m E o	ɛ m ɛ o						
510	488	E	de arenpalm	the spike palm	telapak tangan lonjakan	èmienoemienoe		Eminuminu	E m i n u m i n u	ɛ m i n u m i n u						
511	488	E	zekere boomsoort met deugdzaam timmerhout	certain tree species with decent lumber	spesies pohon tertentu dengan kayu yang layak	èmoamoq		Emoamo'	E m o a m o '	ɛ m o a m o ʔ						
512	488	E	aarden pot om in te koken	earthenware pot for cooking	panci gerabah untuk memasak	èmoeoeha		Emu'uha	E m u ' u h a	ɛ m u ʔ u h a						
513	488	E	zekere boomsoort met deugdzaam timmerhout	certain tree species with decent lumber	spesies pohon tertentu dengan kayu yang layak	èmomoq		Emomo'	E m o m o '	ɛ m o m o ʔ						
514	488	E	wrong	wrong	salah	èmoöie(j)a	177	Emo'oi(y)a	E m o ' o i ( y ) a	ɛ m o ʔ o i ( j ) a						
515	488	E	moeder van menschen en dieren	mother of humans and animals	ibu dari manusia dan hewan	ènaè(na)		EnaE(na)	E n a E ( n a )	ɛ n a ɛ ( n a )						
516	488	E	duim	thumb	ibu jari	ènaè(na):_oe(w)apo	178	EnaE(na):_u(w)apo	E n a E ( n a ) : _ u ( w ) a p o	ɛ n a ɛ ( n a ) : _ u ( w ) a p o						
517	488	E	groote toon	great tone	nada yang bagus	oe(w)aie		u(w)ai	u ( w ) a i	u ( w ) a i						
518	488	E	uitleggers van een boot (sampan)	floats of a boat (sampan)	mengapung di atas perahu (sampan)	ènana		Enana	E n a n a	ɛ n a n a						
519	488	E	baar , golf , deining	bar , wave , swell	bar, gelombang, membengkak	ènanaoe(w)è		Enanau(w)E	E n a n a u ( w ) E	ɛ n a n a u ( w ) ɛ						
520	488	E	vlak terrein	flat terrain	medan datar	ènapa	181	Enapa	E n a p a	ɛ n a p a						
521	489	E	moesang	musang / palm civet	musang / musang sawit	ènapienapie	179	Enapinapi	E n a p i n a p i	ɛ n a p i n a p i						
